"OBJECTID","stop_id","stop_name","stop_desc","bin_3","bin_6","bin_9","bin_12","bin_15","bin_18","bin_21","bin_24","bin_27","bin_30","bin_33","bin_36","bin_39","bin_42","bin_45","bin_48","sum_trips","bin_3_perc","bin_6_perc","bin_9_perc","bin_12_perc","bin_15_perc","bin_18_perc","bin_21_perc","bin_24_perc","bin_27_perc","bin_30_perc","bin_33_perc","bin_36_perc","bin_39_perc","bin_42_perc","bin_45_perc","bin_48_perc"
116,"1119","Bugis Junction","",3,8,9,4,14,6,9,0,1,0,0,0,0,0,0,0,54,0.055555,0.148148,0.166666,0.074074,0.259259,0.111111,0.166666,0.000000,0.018518,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
117,"1121","Stamford Pr Sch","",1,4,10,5,4,4,7,2,6,1,0,0,0,0,0,0,44,0.022727,0.090909,0.227272,0.113636,0.090909,0.090909,0.159090,0.045454,0.136363,0.022727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
118,"1129","Opp Stamford Pr Sch","",0,1,3,4,3,2,0,1,0,0,0,0,0,0,0,0,14,0.000000,0.071428,0.214285,0.285714,0.214285,0.142857,0.000000,0.071428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
119,"1139","Parkview Sq","",3,16,21,24,35,16,2,1,0,0,0,0,0,0,0,0,118,0.025423,0.135593,0.177966,0.203389,0.296610,0.135593,0.016949,0.008474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
120,"1211","Opp Blk 461","",2,4,5,2,0,3,4,2,0,1,0,0,0,0,0,0,23,0.086956,0.173913,0.217391,0.086956,0.000000,0.130434,0.173913,0.086956,0.000000,0.043478,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
121,"1219","Blk 461","",0,8,7,19,19,4,2,5,3,0,0,0,0,0,0,0,67,0.000000,0.119402,0.104477,0.283582,0.283582,0.059701,0.029850,0.074626,0.044776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
122,"1229","Bef Sultan Mque","",1,4,8,8,4,0,0,0,0,0,0,0,0,0,0,0,25,0.039999,0.159999,0.319999,0.319999,0.159999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
123,"1231","Opp Textile Ctr","",0,3,2,0,2,1,1,4,0,0,0,0,0,0,0,0,13,0.000000,0.230769,0.153846,0.000000,0.153846,0.076923,0.076923,0.307692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
124,"1239","Sultan Plaza","",9,11,9,22,19,16,9,9,3,2,1,0,1,0,0,0,111,0.081081,0.099099,0.081081,0.198198,0.171171,0.144144,0.081081,0.081081,0.027027,0.018018,0.009009,0.000000,0.009009,0.000000,0.000000,0.000000
125,"1311","Lavender Stn","",0,8,5,4,1,4,5,2,1,0,0,1,0,0,0,0,31,0.000000,0.258064,0.161290,0.129032,0.032258,0.129032,0.161290,0.064516,0.032258,0.000000,0.000000,0.032258,0.000000,0.000000,0.000000,0.000000
126,"1319","Lavender Stn","",9,8,14,35,23,1,1,1,0,0,1,0,0,0,0,0,93,0.096774,0.086021,0.150537,0.376344,0.247311,0.010752,0.010752,0.010752,0.000000,0.000000,0.010752,0.000000,0.000000,0.000000,0.000000,0.000000
127,"1329","Blk 8","",6,17,30,11,6,6,0,2,1,0,0,0,0,0,0,0,79,0.075949,0.215189,0.379746,0.139240,0.075949,0.075949,0.000000,0.025316,0.012658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
128,"1339","Bef Crawford Bridge","",4,1,7,3,1,3,0,0,0,0,0,0,0,0,0,0,19,0.210526,0.052631,0.368421,0.157894,0.052631,0.157894,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
129,"1341","Eng Cheong Twr","",0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,9,0.000000,0.000000,0.222222,0.222222,0.555555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
130,"1349","Opp Blk 4","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
131,"1411","Keypoint Bldg","",1,5,11,8,3,7,4,8,0,0,0,0,0,0,0,0,47,0.021276,0.106382,0.234042,0.170212,0.063829,0.148936,0.085106,0.170212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
132,"1419","St. John HQ","",0,2,6,3,2,2,1,0,0,0,0,0,0,0,0,0,16,0.000000,0.125000,0.375000,0.187500,0.125000,0.125000,0.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
133,"1421","Opp Golden Mile Cplx","",1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,8,0.125000,0.125000,0.375000,0.125000,0.000000,0.125000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
